C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_17_954.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_17_954.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_17_954.jpg, 0, 0, 0, 7.873354E-05
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_18_058.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_18_058.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_18_058.jpg, 0, 0, 0, 7.860947E-05
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_18_159.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_18_159.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_18_159.jpg, 0, 0, 0, 7.856671E-05
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_18_261.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_18_261.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_18_261.jpg, 0, 0, 0, 7.858663E-05
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_18_363.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_18_363.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_18_363.jpg, 0, 0, 0, 7.860346E-05
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_18_466.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_18_466.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_18_466.jpg, 0, 0, 0, 7.867834E-05
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_18_574.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_18_574.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_18_574.jpg, 0, 0.2906448, 0, 0.1960633
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_18_685.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_18_685.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_18_685.jpg, 0, 0.6562306, 0, 0.9471665
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_18_796.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_18_796.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_18_796.jpg, -0.2946819, 0.9509125, 0, 2.038893
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_18_926.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_18_926.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_18_926.jpg, 0, 1, 0, 3.683747
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_19_027.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_19_027.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_19_027.jpg, 0, 0.7220522, 0, 4.63109
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_19_131.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_19_131.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_19_131.jpg, 0, 0.415435, 0, 5.126806
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_19_240.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_19_240.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_19_240.jpg, 0, 0.05758244, 0, 5.164804
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_19_341.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_19_341.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_19_341.jpg, 0, 0, 0, 5.115807
C:\Users\owner\Documents\Data_selfdriving\IMG\center_2020_08_21_15_04_19_457.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\left_2020_08_21_15_04_19_457.jpg, C:\Users\owner\Documents\Data_selfdriving\IMG\right_2020_08_21_15_04_19_457.jpg, -0.0480234, 0, 0, 5.053904
